Run,Energy,Target,LP,HP,CH,Part,M5,M6,M1,M2,C1,C4,C2,C3,C5,C8,C7,C6,M3,M4,M7,M8,Sum
39026,3,W,1.8,5,HL,"e,mu",352.1446589,365.6298799,1281.47827,1270.67503,9298.3706,12016.12028,7199.534211,7531.563999,3878.747299,11803.55533,5253.052602,3247.545393,764.942228,1732.707903,154.5819556,226.4393964,65106.414
39026,3,W,1.8,5,HLx,pi,446.4760669,440.3514291,1146.81078,891.09548,7305.87194,6652.999746,5773.147101,3534.805247,1434.381153,12800.28685,5209.146684,4991.998129,850.127952,1428.996289,153.5729347,391.7305732,52560.70288
39026,3,W,1.8,5,HxLx,"k,pr",353.2299669,394.4510538,1152.27984,969.02666,6300.090353,5043.551349,5142.72924,3374.61564,1540.573502,10947.22361,3970.013598,3666.755584,792.5948834,1344.713047,140.1793868,302.2765515,44465.2776
39029,-3,W,1.8,5,Total,total,387.9699798,447.5241336,1061.898,941.14381,7469.681159,6819.682002,5876.54557,3726.036284,1685.20829,11875.81179,4946.931503,4249.699764,907.6259941,1574.093991,174.9682978,276.3648169,51480.04157
39029,-3,W,1.8,5,HL,"e,mu",373.4091056,429.8432086,1213.39044,958.40175,8779.107569,9257.900617,6736.097726,5140.67566,2808.307776,11825.49093,5166.973214,3358.52002,923.0377131,1796.321475,199.3028554,243.3175535,58251.69586
39029,-3,W,1.8,5,HLx,pi,400.7394479,463.6833333,1018.52541,961.34374,7149.597854,6537.752477,5576.584107,3171.911863,1333.735924,12291.08128,5057.876898,4929.784985,921.4447933,1534.456779,165.1039823,307.7949099,50860.07405
39029,-3,W,1.8,5,HxLx,"k,pr",356.3143356,379.6675943,716.53086,617.29517,3225.450732,3738.287475,2819.817508,4044.245571,950.3784388,8772.653525,2762.652234,3823.285743,322.1311365,842.4859062,88.35026667,203.0534857,33045.30481
39106,4,Cu,0.5,8,Total,total,514.6663393,514.7287605,2697.64415,1018.16221,8285.524854,7027.874186,7200.976968,3927.185384,1504.698495,14948.13215,6073.4005,4790.526298,903.2178336,1787.70865,215.0778868,357.2876715,60748.65013
39106,4,Cu,0.5,8,HL,e,545.5236718,547.4548304,4959.44528,1531.8204,12489.6616,4990.010528,9731.116274,5476.68399,3384.957118,17310.83991,6727.953062,3908.549079,1108.768643,2301.475026,238.8794903,291.8378387,74013.15634
39106,4,Cu,0.5,8,HLx,"mu,pi",512.4464745,506.4337537,2413.40479,906.16357,6719.521075,7890.823262,5479.744892,3918.748467,1243.484407,13153.61913,5812.387323,5765.850857,849.801115,1692.150737,206.3753117,414.4074821,56579.19908
39106,4,Cu,0.5,8,HxLx,"k,pr",415.1479551,434.1204786,1945.62082,881.51354,6445.449771,4763.250108,4917.501657,3577.038841,1175.386206,11714.94741,4244.929336,4779.397248,770.1523821,1512.918151,165.3067916,358.5852318,47219.75239
39108,5,Cu,0.25,5,Total,total,597.0499634,615.102659,3049.88599,1115.66518,6531.403033,7714.689899,5794.966066,3991.168691,1465.553186,16074.60998,6582.117241,6037.979908,907.6418633,1823.80363,257.4227561,434.7745713,61878.16944
39108,5,Cu,0.25,5,HL,e,679.8253462,699.6832372,7308.93764,2210.44382,11632.21893,4401.640788,10258.16728,4707.729815,3258.316145,22401.51375,8671.150128,5308.232632,1438.238989,3459.114275,315.0625852,364.3960362,84904.22758
39108,5,Cu,0.25,5,HLx,"mu,pi",571.8118709,589.9586591,2775.68486,1034.73986,6063.851337,8432.537864,4902.675278,4095.418033,1417.05282,13473.14888,5877.522386,6576.068477,871.5979085,1723.612738,243.9260784,463.1765704,58078.04376
39108,5,Cu,0.25,5,HxLx,"k,pr",539.9930992,545.9369415,2321.04075,921.78123,6329.825586,5853.939356,4225.085284,3703.11722,1320.530876,11083.50253,4139.502367,5564.639208,754.2072953,1352.910893,211.2939308,452.154471,48397.67981
39027,6,W,0.45,5,Total,total,590.6944984,622.3470918,1677.25166,1094.2858,5641.45052,7825.626886,4590.032244,4739.912315,1539.772237,14228.93718,6025.447398,6760.290133,854.0098297,1844.233661,273.8012378,476.832293,57690.63919
39027,6,W,0.45,5,HL,"e,mu",706.9225955,675.8058972,2462.67428,1652.6577,6155.827091,10869.85156,8293.632736,5451.850086,1810.267072,23202.71639,9310.656664,6633.81033,1851.323633,3536.937574,322.2341842,429.5730443,81714.08314
39027,6,W,0.45,5,HLx,pi,568.5318217,641.0540804,1591.82582,1090.17283,5650.904811,8191.889649,4216.930454,4844.732846,1580.235801,11271.31019,5048.393949,6973.48458,732.0897259,1690.652137,274.0368406,506.7833249,53782.85603
